!Gene list based on the Araport11 genome release
!Release date of annotation: June 2016 
!Annotated by: Araport at J. Craig Ventner Institute
name	gene_model_type
AT1G04587	antisense_long_noncoding_rna
AT1G04590	protein_coding
AT1G04593	long_noncoding_rna
AT1G04597	long_noncoding_rna
AT1G04600	protein_coding
AT1G04603	long_noncoding_rna
AT1G04607	long_noncoding_rna
AT1G04610	protein_coding
AT1G04613	novel_transcribed_region
AT1G04620	protein_coding
AT1G04623	long_noncoding_rna
AT1G04625	protein_coding
AT1G04630	protein_coding
AT1G04635	protein_coding
AT1G04640	protein_coding
AT1G04643	antisense_long_noncoding_rna
AT1G04645	protein_coding
AT1G04647	antisense_long_noncoding_rna
AT1G04650	protein_coding
AT1G04653	long_noncoding_rna
AT1G04657	long_noncoding_rna
AT1G04660	protein_coding
AT1G04667	long_noncoding_rna
AT1G04670	protein_coding
AT1G04673	long_noncoding_rna
AT1G04677	long_noncoding_rna
AT1G04680	protein_coding
AT1G04683	long_noncoding_rna
AT1G04687	long_noncoding_rna
AT1G04690	protein_coding
AT1G04693	long_noncoding_rna
AT1G04697	antisense_long_noncoding_rna
AT1G04700	protein_coding
AT1G04703	long_noncoding_rna
AT1G04707	antisense_long_noncoding_rna
AT1G04710	protein_coding
AT1G04713	long_noncoding_rna
AT1G04717	long_noncoding_rna
AT1G04720	pre_trna
AT1G04723	antisense_long_noncoding_rna
AT1G04730	protein_coding
AT1G04733	small_nuclear_rna
AT1G04737	antisense_long_noncoding_rna
AT1G04743	antisense_long_noncoding_rna
AT1G04747	long_noncoding_rna
AT1G04750	protein_coding
AT1G04753	long_noncoding_rna
AT1G04760	protein_coding
AT1G04763	long_noncoding_rna
AT1G04767	antisense_long_noncoding_rna
AT1G04770	protein_coding
AT1G04773	antisense_long_noncoding_rna
AT1G04778	protein_coding
AT1G04780	protein_coding
AT1G04783	long_noncoding_rna
AT1G04787	long_noncoding_rna
AT1G04790	protein_coding
AT1G04793	long_noncoding_rna
AT1G04797	antisense_long_noncoding_rna
AT1G04800	protein_coding
AT1G04803	antisense_long_noncoding_rna
AT1G04807	long_noncoding_rna
AT1G04810	protein_coding
AT1G04813	long_noncoding_rna
AT1G04817	antisense_long_noncoding_rna
AT1G04820	protein_coding
AT1G04823	antisense_long_noncoding_rna
AT1G04827	antisense_long_noncoding_rna
AT1G04830	protein_coding
AT1G04833	antisense_long_noncoding_rna
AT1G04837	antisense_long_noncoding_rna
AT1G04840	protein_coding
AT1G04847	long_noncoding_rna
AT1G04850	protein_coding
AT1G04853	antisense_long_noncoding_rna
AT1G04857	long_noncoding_rna
AT1G04860	protein_coding
AT1G04863	long_noncoding_rna
AT1G04867	other_rna
AT1G04870	protein_coding
AT1G04873	long_noncoding_rna
AT1G04877	long_noncoding_rna
AT1G04880	protein_coding
AT1G04883	antisense_long_noncoding_rna
AT1G04887	antisense_long_noncoding_rna
AT1G04890	protein_coding
AT1G04893	antisense_long_noncoding_rna
AT1G04895	protein_coding
AT1G04897	small_nuclear_rna
AT1G04900	protein_coding
AT1G04903	novel_transcribed_region
AT1G04907	small_nuclear_rna
AT1G04910	protein_coding
AT1G04913	antisense_long_noncoding_rna
AT1G04917	antisense_long_noncoding_rna
AT1G04920	protein_coding
AT1G04923	long_noncoding_rna
AT1G04927	antisense_long_noncoding_rna
AT1G04930	protein_coding
AT1G04933	antisense_long_noncoding_rna
AT1G04937	long_noncoding_rna
AT1G04940	protein_coding
AT1G04943	long_noncoding_rna
AT1G04945	protein_coding
AT1G04947	long_noncoding_rna
AT1G04950	protein_coding
AT1G04953	antisense_long_noncoding_rna
AT1G04957	long_noncoding_rna
AT1G04960	protein_coding
AT1G04963	long_noncoding_rna
AT1G04967	long_noncoding_rna
AT1G04970	protein_coding
AT1G04973	antisense_long_noncoding_rna
AT1G04977	antisense_long_noncoding_rna
AT1G04980	protein_coding
AT1G04983	long_noncoding_rna
AT1G04985	protein_coding
AT1G04987	long_noncoding_rna
AT1G04990	protein_coding
AT1G04993	miRNA_primary_transcript
AT1G04997	long_noncoding_rna
AT1G05000	protein_coding
AT1G05003	long_noncoding_rna
AT1G05005	protein_coding
AT1G05007	long_noncoding_rna
AT1G05010	protein_coding
AT1G05013	long_noncoding_rna
AT1G05017	antisense_long_noncoding_rna
AT1G05020	protein_coding
AT1G05023	antisense_long_noncoding_rna
AT1G05027	long_noncoding_rna
AT1G05030	protein_coding
AT1G05033	antisense_long_noncoding_rna
AT1G05035	protein_coding
AT1G05037	long_noncoding_rna
AT1G05040	protein_coding
AT1G05043	antisense_long_noncoding_rna
AT1G05047	antisense_long_noncoding_rna
AT1G05053	long_noncoding_rna
AT1G05055	protein_coding
AT1G05057	small_nuclear_rna
AT1G05060	protein_coding
AT1G05061	pseudogene
AT1G05063	novel_transcribed_region
AT1G05065	protein_coding
AT1G05067	long_noncoding_rna
AT1G05070	protein_coding
AT1G05073	long_noncoding_rna
AT1G05077	antisense_long_noncoding_rna
AT1G05080	protein_coding
AT1G05083	antisense_long_noncoding_rna
AT1G05085	protein_coding
AT1G05087	protein_coding
AT1G05090	protein_coding
AT1G05093	long_noncoding_rna
AT1G05097	long_noncoding_rna
AT1G05100	protein_coding
AT1G05103	long_noncoding_rna
AT1G05107	long_noncoding_rna
AT1G05113	long_noncoding_rna
AT1G05117	long_noncoding_rna
AT1G05120	protein_coding
AT1G05123	antisense_long_noncoding_rna
AT1G05127	long_noncoding_rna
AT1G05133	long_noncoding_rna
AT1G05135	pseudogene
AT1G05136	protein_coding
AT1G05137	small_nucleolar_rna
AT1G05140	protein_coding
AT1G05143	antisense_long_noncoding_rna
AT1G05147	antisense_long_noncoding_rna
AT1G05150	protein_coding
AT1G05153	long_noncoding_rna
AT1G05157	novel_transcribed_region
AT1G05160	protein_coding
AT1G05163	antisense_long_noncoding_rna
AT1G05167	novel_transcribed_region
AT1G05170	protein_coding
AT1G05173	long_noncoding_rna
AT1G05177	long_noncoding_rna
AT1G05180	protein_coding
AT1G05183	antisense_long_noncoding_rna
AT1G05187	antisense_long_noncoding_rna
AT1G05190	protein_coding
AT1G05193	long_noncoding_rna
AT1G05197	long_noncoding_rna
AT1G05200	protein_coding
AT1G05203	antisense_long_noncoding_rna
AT1G05205	protein_coding
AT1G05207	antisense_long_noncoding_rna
AT1G05210	protein_coding
AT1G05213	antisense_long_noncoding_rna
AT1G05217	long_noncoding_rna
AT1G05220	protein_coding
AT1G05223	long_noncoding_rna
AT1G05227	long_noncoding_rna
AT1G05230	protein_coding
AT1G05233	long_noncoding_rna
AT1G05237	long_noncoding_rna
AT1G05240	protein_coding
AT1G05243	antisense_long_noncoding_rna
AT1G05247	small_nucleolar_rna
AT1G05250	protein_coding
AT1G05253	antisense_long_noncoding_rna
AT1G05257	antisense_rna
AT1G05260	protein_coding
AT1G05263	long_noncoding_rna
AT1G05267	antisense_long_noncoding_rna
AT1G05270	protein_coding
AT1G05273	small_nuclear_rna
AT1G05277	antisense_long_noncoding_rna
AT1G05280	protein_coding
AT1G05283	long_noncoding_rna
AT1G05287	antisense_long_noncoding_rna
AT1G05290	protein_coding
AT1G05291	protein_coding
AT1G05293	antisense_long_noncoding_rna
AT1G05297	antisense_long_noncoding_rna
AT1G05300	protein_coding
AT1G05303	long_noncoding_rna
AT1G05307	long_noncoding_rna
AT1G05310	protein_coding
AT1G05313	long_noncoding_rna
AT1G05317	antisense_long_noncoding_rna
AT1G05320	protein_coding
AT1G05323	long_noncoding_rna
AT1G05327	antisense_long_noncoding_rna
AT1G05330	protein_coding
AT1G05333	antisense_long_noncoding_rna
AT1G05337	antisense_long_noncoding_rna
AT1G05340	protein_coding
AT1G05343	antisense_long_noncoding_rna
AT1G05347	antisense_long_noncoding_rna
AT1G05350	protein_coding
AT1G05353	antisense_rna
AT1G05357	long_noncoding_rna
AT1G05360	protein_coding
AT1G05363	antisense_long_noncoding_rna
AT1G05367	antisense_long_noncoding_rna
AT1G05370	protein_coding
AT1G05373	long_noncoding_rna
AT1G05377	long_noncoding_rna
AT1G05380	protein_coding
AT1G05383	antisense_long_noncoding_rna
AT1G05385	protein_coding
AT1G05387	long_noncoding_rna
AT1G05390	pre_trna
AT1G05397	long_noncoding_rna
AT1G05400	protein_coding
AT1G05407	long_noncoding_rna
AT1G05410	protein_coding
AT1G05413	long_noncoding_rna
AT1G05417	small_nucleolar_rna
AT1G05420	protein_coding
AT1G05423	small_nucleolar_rna
AT1G05427	small_nucleolar_rna
AT1G05430	protein_coding
AT1G05433	small_nucleolar_rna
AT1G05440	protein_coding
AT1G05443	long_noncoding_rna
AT1G05447	long_noncoding_rna
AT1G05450	protein_coding
AT1G05453	antisense_long_noncoding_rna
AT1G05460	protein_coding
AT1G05463	antisense_rna
AT1G05467	antisense_long_noncoding_rna
AT1G05470	protein_coding
AT1G05473	long_noncoding_rna
AT1G05477	long_noncoding_rna
AT1G05483	long_noncoding_rna
AT1G05487	long_noncoding_rna
AT1G05490	protein_coding
AT1G05493	long_noncoding_rna
AT1G05497	long_noncoding_rna
AT1G05500	protein_coding
AT1G05503	novel_transcribed_region
AT1G05507	long_noncoding_rna
AT1G05510	protein_coding
AT1G05517	long_noncoding_rna
AT1G05520	protein_coding
AT1G05523	antisense_long_noncoding_rna
AT1G05527	long_noncoding_rna
AT1G05530	protein_coding
AT1G05533	long_noncoding_rna
AT1G05537	long_noncoding_rna
AT1G05540	protein_coding
AT1G05543	long_noncoding_rna
AT1G05547	other_rna
AT1G05550	protein_coding
AT1G05553	long_noncoding_rna
AT1G05557	antisense_long_noncoding_rna
AT1G05560	protein_coding
AT1G05562	antisense_long_noncoding_rna
AT1G05563	small_nucleolar_rna
AT1G05567	long_noncoding_rna
AT1G05570	protein_coding
AT1G05575	protein_coding
AT1G05577	protein_coding
AT1G05580	protein_coding
AT1G05583	long_noncoding_rna
AT1G05587	long_noncoding_rna
AT1G05590	protein_coding
AT1G05593	long_noncoding_rna
AT1G05597	long_noncoding_rna
AT1G05600	protein_coding
AT1G05603	long_noncoding_rna
AT1G05607	long_noncoding_rna
AT1G05610	protein_coding
AT1G05613	long_noncoding_rna
AT1G05615	protein_coding
AT1G05617	long_noncoding_rna
AT1G05620	protein_coding
AT1G05623	long_noncoding_rna
AT1G05627	miRNA_primary_transcript
AT1G05630	protein_coding
AT1G05633	long_noncoding_rna
AT1G05637	miRNA_primary_transcript
AT1G05640	protein_coding
AT1G05643	long_noncoding_rna
AT1G05647	long_noncoding_rna
AT1G05650	protein_coding
AT1G05653	long_noncoding_rna
AT1G05657	long_noncoding_rna
AT1G05660	protein_coding
AT1G05663	long_noncoding_rna
AT1G05667	long_noncoding_rna
AT1G05670	protein_coding
AT1G05673	small_nuclear_rna
AT1G05675	protein_coding
AT1G05680	protein_coding
AT1G05683	long_noncoding_rna
AT1G05687	antisense_long_noncoding_rna
AT1G05690	protein_coding
AT1G05693	long_noncoding_rna
AT1G05697	other_rna
AT1G05700	protein_coding
AT1G05703	antisense_long_noncoding_rna
AT1G05707	long_noncoding_rna
